TermCRN,L,R,WL
SpringTerm2025-3936,20,20,0
SpringTerm2025-3939,12,12,1
SpringTerm2025-3180,,,
SpringTerm2025-3181,,,
SpringTerm2025-3182,,,
SpringTerm2025-3938,18,12,0
SpringTerm2025-3183,,,
SpringTerm2025-3184,,,
SpringTerm2025-3185,,,
FallTerm2023-5673,48,48,0
FallTerm2023-5220,,,
FallTerm2023-5578,,3,
FallTerm2024-5705,12,12,0
FallTerm2024-5706,12,7,0
FallTerm2024-5219,,,
FallTerm2024-6101,,10,0
FallTerm2024-5220,,,
WinterTerm2024-1218,,,
WinterTerm2025-1184,,,
WinterTerm2025-1185,,,
WinterTerm2025-1810,,2,
WinterTerm2025-1851,,,
SpringTerm2024-3692,24,22,0
SpringTerm2024-3693,24,24,0
SpringTerm2024-3194,,,
SpringTerm2024-3651,,3,
SpringTerm2025-3674,14,14,0
SpringTerm2025-3675,14,8,0
SpringTerm2025-3186,,,
SpringTerm2025-3866,,4,
SpringTerm2025-3187,,,
FallTerm2023-5988,24,12,0
FallTerm2023-5704,20,19,0
FallTerm2023-5221,,,
FallTerm2023-5222,,,
FallTerm2023-5592,,17,0
FallTerm2023-5581,16,6,0
FallTerm2023-5845,,10,0
FallTerm2023-5660,24,29,0
FallTerm2023-5829,20,9,0
FallTerm2023-5737,,8,0
FallTerm2023-5223,,,
FallTerm2023-5224,,,
FallTerm2023-5225,,,
FallTerm2023-5226,,,
FallTerm2023-5842,13,13,0
FallTerm2023-5227,,,
FallTerm2023-5228,,,
FallTerm2023-5229,,,
FallTerm2023-5230,,,
FallTerm2023-5231,,,
FallTerm2023-5232,,,
FallTerm2023-5233,,,
FallTerm2023-5234,,,
FallTerm2024-5846,10,10,1
FallTerm2024-5847,10,10,1
FallTerm2024-5221,,,
FallTerm2024-5222,,,
FallTerm2024-5849,12,12,0
FallTerm2024-5851,16,5,0
FallTerm2024-5827,35,35,0
FallTerm2024-5892,,11,0
FallTerm2024-5689,12,12,0
FallTerm2024-5690,12,12,1
FallTerm2024-6066,,7,0
FallTerm2024-5223,,,
FallTerm2024-5224,,,
FallTerm2024-5225,,,
FallTerm2024-5226,,,
FallTerm2024-5227,,,
FallTerm2024-5228,,,
FallTerm2024-5229,,,
FallTerm2024-5230,,,
FallTerm2024-5231,,,
FallTerm2024-5232,,,
FallTerm2024-5233,,,
FallTerm2024-5234,,,
WinterTerm2024-1713,40,45,0
WinterTerm2024-1219,,,
WinterTerm2024-1220,,,
WinterTerm2024-1672,32,22,0
WinterTerm2024-1577,,13,0
WinterTerm2024-1579,16,15,0
WinterTerm2024-1575,12,8,0
WinterTerm2024-2043,25,9,0
WinterTerm2024-1716,20,19,0
WinterTerm2024-1778,,10,0
WinterTerm2024-1221,,,
WinterTerm2024-1222,,,
WinterTerm2024-1223,,,
WinterTerm2024-1224,,,
WinterTerm2024-1225,,,
WinterTerm2024-1226,,,
WinterTerm2024-1227,,,
WinterTerm2024-1228,,,
WinterTerm2024-1717,15,12,0
WinterTerm2024-1229,,,
WinterTerm2024-1230,,,
WinterTerm2024-1231,,,
WinterTerm2024-1232,,,
WinterTerm2025-1862,40,40,2
WinterTerm2025-1186,,,
WinterTerm2025-1187,,,
WinterTerm2025-2121,18,17,7
WinterTerm2025-1821,,13,0
WinterTerm2025-1818,16,7,0
WinterTerm2025-1816,10,10,1
WinterTerm2025-1865,20,13,0
WinterTerm2025-1866,,11,
WinterTerm2025-1188,,,
WinterTerm2025-1189,,,
WinterTerm2025-1190,,,
WinterTerm2025-1191,,,
WinterTerm2025-1192,,,
WinterTerm2025-1193,,,
WinterTerm2025-1194,,,
WinterTerm2025-1195,,,
WinterTerm2025-1196,,,
WinterTerm2025-1197,,,
WinterTerm2025-1198,,,
WinterTerm2025-1199,,,
SpringTerm2024-3558,18,17,0
SpringTerm2024-3559,18,14,0
SpringTerm2024-3195,,,
SpringTerm2024-3196,,,
SpringTerm2024-3564,10,5,0
SpringTerm2024-3565,10,4,0
SpringTerm2024-3575,25,20,0
SpringTerm2024-4040,,10,0
SpringTerm2024-4146,,5,0
SpringTerm2024-4001,18,17,0
SpringTerm2024-3704,10,10,0
SpringTerm2024-3705,10,9,0
SpringTerm2024-3197,,,
SpringTerm2024-3198,,,
SpringTerm2024-3199,,,
SpringTerm2024-3200,,,
SpringTerm2024-4164,12,9,0
SpringTerm2024-3676,,14,0
SpringTerm2024-3678,,14,0
SpringTerm2024-3201,,,
SpringTerm2024-3202,,,
SpringTerm2024-3203,,,
SpringTerm2024-3204,,,
SpringTerm2024-3205,,,
SpringTerm2024-3206,,,
SpringTerm2024-3207,,,
SpringTerm2024-3208,,,
SpringTerm2025-3766,9,8,2
SpringTerm2025-3767,9,9,1
SpringTerm2025-3188,,,
SpringTerm2025-3189,,,
SpringTerm2025-3778,10,5,0
SpringTerm2025-3779,10,6,0
SpringTerm2025-3882,18,14,0
SpringTerm2025-3690,25,14,0
SpringTerm2025-3845,15,6,0
SpringTerm2025-3661,12,12,0
SpringTerm2025-3662,12,12,0
SpringTerm2025-3723,,10,0
SpringTerm2025-3190,,,
SpringTerm2025-3191,,,
SpringTerm2025-3192,,,
SpringTerm2025-3193,,,
SpringTerm2025-3880,12,11,0
SpringTerm2025-3194,,,
SpringTerm2025-3195,,,
SpringTerm2025-3196,,,
SpringTerm2025-3197,,,
SpringTerm2025-3879,15,3,0
SpringTerm2025-3198,,,
SpringTerm2025-3199,,,
SpringTerm2025-3200,,,
SpringTerm2025-3201,,,
FallTerm2023-5654,25,25,0
FallTerm2023-5235,,,
FallTerm2023-5236,,,
FallTerm2023-6059,30,30,0
FallTerm2023-5629,25,4,0
FallTerm2023-5616,25,26,0
FallTerm2023-5237,,,
FallTerm2023-5238,,,
FallTerm2023-5239,,,
FallTerm2023-5240,,,
FallTerm2023-5891,20,13,0
FallTerm2023-5241,,,
FallTerm2023-5242,,,
FallTerm2023-5243,,,
FallTerm2023-5244,,,
FallTerm2023-5759,15,3,0
FallTerm2023-5245,,,
FallTerm2023-5246,,,
FallTerm2023-5247,,,
FallTerm2023-5248,,,
FallTerm2024-6087,25,16,0
FallTerm2024-5235,,,
FallTerm2024-5236,,,
FallTerm2024-6091,16,11,0
FallTerm2024-6058,24,20,0
FallTerm2024-5893,,11,0
FallTerm2024-6121,,1,
FallTerm2024-5903,24,17,0
FallTerm2024-5909,25,6,0
FallTerm2024-5723,25,4,0
FallTerm2024-5762,25,25,0
FallTerm2024-6090,,,
FallTerm2024-5237,,,
FallTerm2024-5238,,,
FallTerm2024-5239,,,
FallTerm2024-5969,15,6,0
FallTerm2024-5240,,,
FallTerm2024-6084,,5,
FallTerm2024-5948,18,18,2
FallTerm2024-5241,,,
FallTerm2024-5242,,,
FallTerm2024-5243,,,
FallTerm2024-5244,,,
FallTerm2024-6092,15,1,0
FallTerm2024-5245,,,
FallTerm2024-5246,,,
FallTerm2024-5247,,,
FallTerm2024-5248,,,
WinterTerm2024-1233,,,
WinterTerm2024-1234,,,
WinterTerm2024-1658,,6,
WinterTerm2024-2001,,17,0
WinterTerm2024-1857,,20,0
WinterTerm2024-1721,20,21,0
WinterTerm2024-1609,25,22,0
WinterTerm2024-1900,25,10,0
WinterTerm2024-1235,,,
WinterTerm2024-1236,,,
WinterTerm2024-1237,,,
WinterTerm2024-1238,,,
WinterTerm2024-1657,20,8,0
WinterTerm2024-1906,20,14,0
WinterTerm2024-1623,15,6,0
WinterTerm2024-1710,15,11,0
WinterTerm2024-1239,,,
WinterTerm2024-1240,,,
WinterTerm2024-1241,,,
WinterTerm2024-1242,,,
WinterTerm2024-1243,,,
WinterTerm2024-1244,,,
WinterTerm2024-1245,,,
WinterTerm2024-1246,,,
WinterTerm2025-2112,25,7,0
WinterTerm2025-2109,,4,
WinterTerm2025-1200,,,
WinterTerm2025-1201,,,
WinterTerm2025-2108,,8,
WinterTerm2025-1202,,,
WinterTerm2025-1203,,,
WinterTerm2025-1204,,,
WinterTerm2025-1205,,,
WinterTerm2025-2139,,,
WinterTerm2025-2009,15,15,3
WinterTerm2025-1879,18,2,0
WinterTerm2025-1937,20,6,0
WinterTerm2025-2077,15,15,1
WinterTerm2025-2012,15,12,0
WinterTerm2025-1206,,,
WinterTerm2025-1207,,,
WinterTerm2025-1208,,,
WinterTerm2025-1209,,,
WinterTerm2025-1210,,,
WinterTerm2025-1211,,,
WinterTerm2025-1212,,,
WinterTerm2025-1213,,,
SpringTerm2024-3209,,,
SpringTerm2024-3210,,,
SpringTerm2024-3672,24,25,0
SpringTerm2024-3912,24,23,0
SpringTerm2024-4061,15,5,0
SpringTerm2024-3673,,12,
SpringTerm2024-4000,18,17,0
SpringTerm2024-3591,18,18,0
SpringTerm2024-3593,18,15,0
SpringTerm2024-4075,,13,0
SpringTerm2024-3211,,,
SpringTerm2024-3212,,,
SpringTerm2024-3213,,,
SpringTerm2024-3214,,,
SpringTerm2024-4145,,5,0
SpringTerm2024-3898,20,12,0
SpringTerm2024-3671,12,9,0
SpringTerm2024-3907,12,12,0
SpringTerm2024-3215,,,
SpringTerm2024-3216,,,
SpringTerm2024-3217,,,
SpringTerm2024-3218,,,
SpringTerm2024-3219,,,
SpringTerm2024-3220,,,
SpringTerm2024-3221,,,
SpringTerm2024-3222,,,
SpringTerm2025-4082,25,9,0
SpringTerm2025-3653,,0,0
SpringTerm2025-3202,,,
SpringTerm2025-3203,,,
SpringTerm2025-3900,20,15,0
SpringTerm2025-4083,15,4,0
SpringTerm2025-4094,,2,
SpringTerm2025-3745,18,16,0
SpringTerm2025-3747,18,6,0
SpringTerm2025-4113,,0,0
SpringTerm2025-3204,,,
SpringTerm2025-3205,,,
SpringTerm2025-3206,,,
SpringTerm2025-3207,,,
SpringTerm2025-4093,,2,
SpringTerm2025-3877,13,13,5
SpringTerm2025-3881,12,11,0
SpringTerm2025-3208,,,
SpringTerm2025-3209,,,
SpringTerm2025-3210,,,
SpringTerm2025-3211,,,
SpringTerm2025-3212,,,
SpringTerm2025-3213,,,
SpringTerm2025-3214,,,
SpringTerm2025-3215,,,
FallTerm2023-5883,24,21,0
FallTerm2023-5249,,,
FallTerm2023-5882,24,7,0
FallTerm2023-5812,10,11,0
FallTerm2023-5810,14,13,0
FallTerm2023-6074,10,8,0
FallTerm2023-5250,,,
FallTerm2023-5251,,,
FallTerm2023-5252,,,
FallTerm2023-5879,20,7,0
FallTerm2023-6040,,8,0
FallTerm2023-5253,,,
FallTerm2023-5254,,,
FallTerm2023-5255,,,
FallTerm2023-5256,,,
FallTerm2023-5257,,,
FallTerm2023-5258,,,
FallTerm2024-5927,24,22,0
FallTerm2024-5249,,,
FallTerm2024-5928,24,6,0
FallTerm2024-5929,20,20,1
FallTerm2024-5755,12,10,0
FallTerm2024-5932,10,10,1
FallTerm2024-6072,,3,0
FallTerm2024-5930,12,9,0
FallTerm2024-5250,,,
FallTerm2024-5251,,,
FallTerm2024-5252,,,
FallTerm2024-5253,,,
FallTerm2024-5254,,,
FallTerm2024-5255,,,
FallTerm2024-5256,,,
FallTerm2024-5257,,,
FallTerm2024-5258,,,
WinterTerm2024-1835,15,15,0
WinterTerm2024-1247,,,
WinterTerm2024-1830,11,12,0
WinterTerm2024-2084,20,15,0
WinterTerm2024-1735,18,17,0
WinterTerm2024-2082,15,10,0
WinterTerm2024-1248,,,
WinterTerm2024-1249,,,
WinterTerm2024-1250,,,
WinterTerm2024-1738,18,3,0
WinterTerm2024-2081,,9,
WinterTerm2024-1708,15,6,0
WinterTerm2024-1251,,,
WinterTerm2024-1252,,,
WinterTerm2024-1253,,,
WinterTerm2024-1892,,,
WinterTerm2024-1893,,8,
WinterTerm2024-1254,,,
WinterTerm2024-1255,,,
WinterTerm2024-1256,,,
WinterTerm2025-1971,10,9,7
WinterTerm2025-1918,,3,
WinterTerm2025-1214,,,
WinterTerm2025-1773,10,10,4
WinterTerm2025-1914,10,10,1
WinterTerm2025-1955,10,10,1
WinterTerm2025-1950,14,7,0
WinterTerm2025-1978,,3,0
WinterTerm2025-1893,18,12,0
WinterTerm2025-1916,12,12,1
WinterTerm2025-2098,,6,0
WinterTerm2025-1752,,7,0
WinterTerm2025-1917,12,4,0
WinterTerm2025-1215,,,
WinterTerm2025-1216,,,
WinterTerm2025-1217,,,
WinterTerm2025-1896,18,0,0
WinterTerm2025-1822,20,14,0
WinterTerm2025-2014,15,8,0
WinterTerm2025-1218,,,
WinterTerm2025-1219,,,
WinterTerm2025-1220,,,
WinterTerm2025-1912,,,
WinterTerm2025-1913,,,
WinterTerm2025-1221,,,
WinterTerm2025-1222,,,
WinterTerm2025-1223,,,
SpringTerm2024-4098,24,17,0
SpringTerm2024-3223,,,
SpringTerm2024-3891,24,10,0
SpringTerm2024-3845,6,4,0
SpringTerm2024-3841,9,7,0
SpringTerm2024-4099,12,9,0
SpringTerm2024-3224,,,
SpringTerm2024-3225,,,
SpringTerm2024-3226,,,
SpringTerm2024-3893,,5,
SpringTerm2024-3894,10,8,0
SpringTerm2024-3847,4,3,0
SpringTerm2024-3843,5,3,0
SpringTerm2024-4078,,12,0
SpringTerm2024-3227,,,
SpringTerm2024-3228,,,
SpringTerm2024-3229,,,
SpringTerm2024-3896,,8,
SpringTerm2024-3230,,,
SpringTerm2024-3231,,,
SpringTerm2024-3232,,,
SpringTerm2025-3912,24,15,0
SpringTerm2025-4097,10,10,4
SpringTerm2025-3216,,,
SpringTerm2025-3915,,6,
SpringTerm2025-3917,10,10,1
SpringTerm2025-3907,,8,0
SpringTerm2025-3958,6,4,0
SpringTerm2025-3951,9,2,0
SpringTerm2025-3217,,,
SpringTerm2025-3218,,,
SpringTerm2025-3219,,,
SpringTerm2025-3916,,9,
SpringTerm2025-3960,4,0,0
SpringTerm2025-3953,5,1,0
SpringTerm2025-3220,,,
SpringTerm2025-3221,,,
SpringTerm2025-3222,,,
SpringTerm2025-3913,,,
SpringTerm2025-3914,,,
SpringTerm2025-3223,,,
SpringTerm2025-3224,,,
SpringTerm2025-3225,,,
FallTerm2023-5638,20,21,0
FallTerm2023-5639,20,20,0
FallTerm2023-5640,20,15,0
FallTerm2023-5989,20,11,0
FallTerm2023-5641,,7,
FallTerm2024-5751,12,5,0
FallTerm2024-5752,12,5,0
FallTerm2024-5259,,,
FallTerm2024-5260,,,
FallTerm2024-5753,14,7,0
FallTerm2024-5754,12,10,0
FallTerm2024-5261,,,
FallTerm2024-5262,,,
FallTerm2024-5263,,,
FallTerm2024-5264,,,
FallTerm2024-5265,,,
FallTerm2024-5266,,,
FallTerm2024-5267,,,
FallTerm2024-5268,,,
FallTerm2024-5269,,,
FallTerm2024-5270,,,
FallTerm2024-5271,,,
FallTerm2024-5272,,,
WinterTerm2024-1630,20,18,0
WinterTerm2024-1631,20,22,0
WinterTerm2024-1632,20,13,0
WinterTerm2024-1633,,8,0
WinterTerm2024-1636,,4,0
WinterTerm2024-1638,,4,
WinterTerm2025-1748,12,5,0
WinterTerm2025-1967,20,6,0
WinterTerm2025-1224,,,
WinterTerm2025-1225,,,
WinterTerm2025-1708,20,6,0
WinterTerm2025-1711,,2,
WinterTerm2025-1712,,9,
WinterTerm2025-1226,,,
WinterTerm2025-1227,,,
WinterTerm2025-1228,,,
WinterTerm2025-1229,,,
WinterTerm2025-1709,,6,0
WinterTerm2025-1230,,,
WinterTerm2025-1231,,,
WinterTerm2025-1232,,,
WinterTerm2025-1233,,,
WinterTerm2025-1234,,,
WinterTerm2025-1235,,,
WinterTerm2025-1236,,,
WinterTerm2025-1237,,,
SpringTerm2024-3635,20,19,0
SpringTerm2024-3636,20,21,0
SpringTerm2024-3649,,4,
SpringTerm2024-3637,,6,
SpringTerm2024-3638,,12,0
SpringTerm2025-3226,,,
SpringTerm2025-3227,,,
SpringTerm2025-3724,12,4,0
SpringTerm2025-3725,12,6,0
SpringTerm2025-4084,,7,0
SpringTerm2025-3228,,,
SpringTerm2025-3229,,,
SpringTerm2025-3230,,,
SpringTerm2025-3231,,,
SpringTerm2025-3735,,0,0
SpringTerm2025-3728,,0,0
SpringTerm2025-3730,,,
SpringTerm2025-3731,,,
SpringTerm2025-3732,,0,0
SpringTerm2025-3726,,3,0
SpringTerm2025-3232,,,
SpringTerm2025-3233,,,
SpringTerm2025-3234,,,
SpringTerm2025-3235,,,
SpringTerm2025-3236,,,
SpringTerm2025-3237,,,
SpringTerm2025-3238,,,
SpringTerm2025-3239,,,
FallTerm2023-5003,,13,
FallTerm2023-5004,,12,
FallTerm2023-5005,,13,
FallTerm2023-5006,,12,
FallTerm2023-5007,,13,
FallTerm2023-5008,,12,
FallTerm2023-5009,,13,
FallTerm2023-5010,,13,
FallTerm2023-5011,,13,
FallTerm2023-5012,,13,
FallTerm2023-5013,,13,
FallTerm2023-5014,,13,
FallTerm2023-5015,,12,
FallTerm2023-5016,,12,
FallTerm2023-5017,,12,
FallTerm2023-5018,,12,
FallTerm2023-5019,,13,
FallTerm2023-5020,,12,
FallTerm2023-5021,,13,
FallTerm2023-5022,,12,
FallTerm2023-5023,,12,
FallTerm2023-5024,,12,
FallTerm2023-5025,,12,
FallTerm2023-5026,,12,
FallTerm2023-5029,,12,
FallTerm2023-6127,,13,
FallTerm2023-6129,,12,
FallTerm2024-5002,,,
FallTerm2024-5003,,,
FallTerm2024-5004,,,
FallTerm2024-5005,,,
FallTerm2024-5006,,,
FallTerm2024-5007,,,
FallTerm2024-5008,,,
FallTerm2024-5009,,,
FallTerm2024-5010,,,
FallTerm2024-5011,,4,
FallTerm2024-5012,,,
FallTerm2024-5013,,,
FallTerm2024-5014,,,
FallTerm2024-5015,,,
FallTerm2024-5016,,,
FallTerm2024-5017,,,
FallTerm2024-5018,,,
FallTerm2024-5019,,,
FallTerm2024-5020,,,
FallTerm2024-5021,,,
FallTerm2024-5022,,,
FallTerm2024-5023,,,
FallTerm2024-5024,,,
FallTerm2024-5025,,,
FallTerm2024-5026,,,
FallTerm2024-5027,,,
FallTerm2024-5028,,,
FallTerm2024-5030,,,
FallTerm2024-6105,450,14,0
FallTerm2023-5576,15,16,0
FallTerm2023-5259,,,
FallTerm2023-5260,,,
FallTerm2023-5580,16,6,0
FallTerm2023-5579,,16,
FallTerm2023-5261,,,
FallTerm2023-5262,,,
FallTerm2023-5263,,,
FallTerm2023-5264,,,
FallTerm2023-5691,,13,
FallTerm2023-5265,,,
FallTerm2023-5266,,,
FallTerm2023-5267,,,
FallTerm2023-5268,,,
FallTerm2023-5577,,5,
FallTerm2023-5269,,,
FallTerm2023-5270,,,
FallTerm2023-5271,,,
FallTerm2023-5272,,,
FallTerm2024-5843,10,10,1
FallTerm2024-5844,10,10,1
FallTerm2024-5273,,,
FallTerm2024-5274,,,
FallTerm2024-5848,12,12,0
FallTerm2024-5850,16,5,0
FallTerm2024-5275,,,
FallTerm2024-5276,,,
FallTerm2024-5277,,,
FallTerm2024-5278,,,
FallTerm2024-6099,,10,0
FallTerm2024-5279,,,
FallTerm2024-5280,,,
FallTerm2024-5281,,,
FallTerm2024-5282,,,
FallTerm2024-5283,,,
FallTerm2024-5284,,,
FallTerm2024-5285,,,
FallTerm2024-5286,,,
WinterTerm2024-1257,,,
WinterTerm2024-1258,,,
WinterTerm2024-1576,,13,0
WinterTerm2024-1578,16,15,0
WinterTerm2024-1574,12,8,0
WinterTerm2024-1259,,,
WinterTerm2024-1260,,,
WinterTerm2024-1261,,,
WinterTerm2024-1262,,,
WinterTerm2024-1263,,,
WinterTerm2024-1264,,,
WinterTerm2024-1265,,,
WinterTerm2024-1266,,,
WinterTerm2024-1267,,,
WinterTerm2024-1268,,,
WinterTerm2024-1269,,,
WinterTerm2024-1270,,,
WinterTerm2025-1812,10,10,5
WinterTerm2025-1813,10,10,1
WinterTerm2025-1238,,,
WinterTerm2025-1239,,,
WinterTerm2025-1820,,13,0
WinterTerm2025-1817,16,7,0
WinterTerm2025-1814,10,10,1
WinterTerm2025-1240,,,
WinterTerm2025-1241,,,
WinterTerm2025-1242,,,
WinterTerm2025-1243,,,
WinterTerm2025-1819,,7,
WinterTerm2025-1244,,,
WinterTerm2025-1245,,,
WinterTerm2025-1246,,,
WinterTerm2025-1247,,,
WinterTerm2025-1809,,8,
WinterTerm2025-1852,,,
WinterTerm2025-1248,,,
WinterTerm2025-1249,,,
WinterTerm2025-1250,,,
WinterTerm2025-1251,,,
SpringTerm2024-3551,20,23,0
SpringTerm2024-3552,20,20,0
SpringTerm2024-3555,18,17,0
SpringTerm2024-3556,18,14,0
SpringTerm2024-3233,,,
SpringTerm2024-3234,,,
SpringTerm2024-3553,,11,
SpringTerm2024-3235,,,
SpringTerm2024-3236,,,
SpringTerm2024-3237,,,
SpringTerm2024-3238,,,
SpringTerm2024-3650,,8,
SpringTerm2024-3239,,,
SpringTerm2024-3240,,,
SpringTerm2024-3241,,,
SpringTerm2024-3242,,,
SpringTerm2024-3243,,,
SpringTerm2024-3244,,,
SpringTerm2024-3245,,,
SpringTerm2024-3246,,,
SpringTerm2025-3847,10,9,7
SpringTerm2025-3848,10,10,0
SpringTerm2025-3240,,,
SpringTerm2025-3241,,,
SpringTerm2025-3843,,5,
SpringTerm2025-3844,15,6,0
SpringTerm2025-3242,,,
SpringTerm2025-3243,,,
SpringTerm2025-3244,,,
SpringTerm2025-3245,,,
SpringTerm2025-3849,,2,
SpringTerm2025-3867,,,
SpringTerm2025-3246,,,
SpringTerm2025-3247,,,
SpringTerm2025-3248,,,
SpringTerm2025-3249,,,
SpringTerm2025-3250,,,
SpringTerm2025-3251,,,
SpringTerm2025-3252,,,
SpringTerm2025-3253,,,
FallTerm2023-5038,20,13,0
FallTerm2023-5039,20,12,0
FallTerm2023-5273,,,
FallTerm2023-5274,,,
FallTerm2023-5041,,11,
FallTerm2023-5799,30,12,0
FallTerm2023-5275,,,
FallTerm2023-5276,,,
FallTerm2023-5277,,,
FallTerm2023-5278,,,
FallTerm2023-5279,,,
FallTerm2023-5280,,,
FallTerm2023-5281,,,
FallTerm2023-5282,,,
FallTerm2023-5042,,4,
FallTerm2023-5283,,,
FallTerm2023-5969,,,
FallTerm2023-5970,,,
FallTerm2023-5284,,,
FallTerm2023-5285,,,
FallTerm2024-5788,20,14,0
FallTerm2024-5789,20,2,0
FallTerm2024-5287,,,
FallTerm2024-5288,,,
FallTerm2024-5790,,7,
FallTerm2024-5289,,,
FallTerm2024-5290,,,
FallTerm2024-5291,,,
FallTerm2024-5292,,,
FallTerm2024-5791,,6,
FallTerm2024-5293,,,
FallTerm2024-5294,,,
FallTerm2024-5295,,,
FallTerm2024-5296,,,
FallTerm2024-5297,,,
FallTerm2024-5298,,,
FallTerm2024-5299,,,
FallTerm2024-5300,,,
WinterTerm2024-1028,20,17,0
WinterTerm2024-1029,20,14,0
WinterTerm2024-1271,,,
WinterTerm2024-1272,,,
WinterTerm2024-1033,20,10,0
WinterTerm2024-1273,,,
WinterTerm2024-1274,,,
WinterTerm2024-1275,,,
WinterTerm2024-1276,,,
WinterTerm2024-1814,,7,
WinterTerm2024-1277,,,
WinterTerm2024-1278,,,
WinterTerm2024-1279,,,
WinterTerm2024-1280,,,
WinterTerm2024-1040,,4,
WinterTerm2024-1281,,,
WinterTerm2024-1981,,,
WinterTerm2024-1282,,,
WinterTerm2024-1283,,,
WinterTerm2025-1755,20,5,0
WinterTerm2025-1756,20,13,0
WinterTerm2025-1252,,,
WinterTerm2025-1253,,,
WinterTerm2025-1757,20,5,0
WinterTerm2025-1254,,,
WinterTerm2025-1255,,,
WinterTerm2025-1256,,,
WinterTerm2025-1257,,,
WinterTerm2025-1758,,4,
WinterTerm2025-1750,,7,0
WinterTerm2025-1258,,,
WinterTerm2025-1259,,,
WinterTerm2025-1260,,,
WinterTerm2025-1261,,,
WinterTerm2025-1753,,3,
WinterTerm2025-1754,,,
WinterTerm2025-1262,,,
WinterTerm2025-1263,,,
WinterTerm2025-1264,,,
WinterTerm2025-1265,,,
SpringTerm2024-3247,,,
SpringTerm2024-3248,,,
SpringTerm2024-3002,20,16,0
SpringTerm2024-3003,20,8,0
SpringTerm2024-3004,20,9,0
SpringTerm2024-3249,,,
SpringTerm2024-3250,,,
SpringTerm2024-3251,,,
SpringTerm2024-3252,,,
SpringTerm2024-4065,,10,
SpringTerm2024-3253,,,
SpringTerm2024-3254,,,
SpringTerm2024-3255,,,
SpringTerm2024-3256,,,
SpringTerm2024-3257,,,
SpringTerm2024-3980,,1,
SpringTerm2024-3258,,,
SpringTerm2024-3259,,,
SpringTerm2025-3254,,,
SpringTerm2025-3255,,,
SpringTerm2025-3795,20,9,0
SpringTerm2025-3796,20,3,0
SpringTerm2025-3794,,5,
SpringTerm2025-3256,,,
SpringTerm2025-3257,,,
SpringTerm2025-3258,,,
SpringTerm2025-3259,,,
SpringTerm2025-3909,,2,
SpringTerm2025-3910,,4,
SpringTerm2025-3260,,,
SpringTerm2025-3261,,,
SpringTerm2025-3262,,,
SpringTerm2025-3263,,,
SpringTerm2025-3264,,,
SpringTerm2025-3265,,,
SpringTerm2025-3266,,,
SpringTerm2025-3267,,,
FallTerm2023-5763,24,22,0
FallTerm2023-5286,,,
FallTerm2023-5287,,,
FallTerm2023-5808,20,18,0
FallTerm2023-5627,25,16,0
FallTerm2023-5288,,,
FallTerm2023-5289,,,
FallTerm2023-5290,,,
FallTerm2023-5291,,,
FallTerm2023-6041,,8,0
FallTerm2023-5885,20,19,0
FallTerm2023-5292,,,
FallTerm2023-5293,,,
FallTerm2023-5294,,,
FallTerm2023-5295,,,
FallTerm2023-5296,,,
FallTerm2023-5297,,,
FallTerm2023-5298,,,
FallTerm2023-5299,,,
FallTerm2024-5934,24,12,0
FallTerm2024-5301,,,
FallTerm2024-5302,,,
FallTerm2024-5624,20,20,0
FallTerm2024-5303,,,
FallTerm2024-5304,,,
FallTerm2024-5305,,,
FallTerm2024-5968,15,6,0
FallTerm2024-5306,,,
FallTerm2024-5918,18,4,0
FallTerm2024-5307,,,
FallTerm2024-5308,,,
FallTerm2024-5309,,,
FallTerm2024-5310,,,
FallTerm2024-5311,,,
FallTerm2024-5312,,,
FallTerm2024-5313,,,
FallTerm2024-5314,,,
WinterTerm2024-1769,24,21,0
WinterTerm2024-1284,,,
WinterTerm2024-1285,,,
WinterTerm2024-1859,25,19,0
WinterTerm2024-2002,,17,0
WinterTerm2024-2105,20,13,0
WinterTerm2024-1736,18,17,0
WinterTerm2024-1286,,,
WinterTerm2024-1287,,,
WinterTerm2024-1288,,,
WinterTerm2024-1289,,,
WinterTerm2024-1739,18,3,0
WinterTerm2024-1039,15,13,0
WinterTerm2024-1290,,,
WinterTerm2024-1291,,,
WinterTerm2024-1292,,,
WinterTerm2024-1293,,,
WinterTerm2024-1294,,,
WinterTerm2024-1295,,,
WinterTerm2024-1296,,,
WinterTerm2024-1297,,,
WinterTerm2025-1922,14,9,0
WinterTerm2025-1884,9,9,1
WinterTerm2025-1266,,,
WinterTerm2025-1267,,,
WinterTerm2025-1923,15,9,0
WinterTerm2025-1921,20,8,0
WinterTerm2025-1894,18,12,0
WinterTerm2025-1751,,7,0
WinterTerm2025-1948,20,11,0
WinterTerm2025-1268,,,
WinterTerm2025-1269,,,
WinterTerm2025-1270,,,
WinterTerm2025-1271,,,
WinterTerm2025-1897,18,0,0
WinterTerm2025-1272,,,
WinterTerm2025-1273,,,
WinterTerm2025-1274,,,
WinterTerm2025-1275,,,
WinterTerm2025-2129,,4,
WinterTerm2025-1276,,,
WinterTerm2025-1277,,,
WinterTerm2025-1278,,,
WinterTerm2025-1279,,,
SpringTerm2024-3791,24,22,0
SpringTerm2024-3756,24,24,0
SpringTerm2024-3260,,,
SpringTerm2024-3261,,,
SpringTerm2024-3765,,8,0
SpringTerm2024-3011,30,26,0
SpringTerm2024-3792,20,16,0
SpringTerm2024-3262,,,
