CRN,Term,Dept,Num,Name,APR,Units,PreReqs,Description,IS_DS_TU_IN
6035,1 (Fall 2023),MATH,525,GRAPH THEORY,,6,"MATH 230 and 250, or MATH 300","A survey of graph theory that balances the abstract theory of graphs with a wide variety of algorithms and applications to “real world” problems. Topics include trees, Euler tours and Hamilton cycles, matchings, colorings, directed graphs, and networks. PREREQUISITES: MATH 230 and 250, or MATH 300",N
5367,1 (Fall 2023),MATH,590,TUTORIAL STUDIES IN MATH,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,Advanced work in mathematics on topics not covered in regular offerings. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,Y
5368,1 (Fall 2023),MATH,591,DIRECTED STUDY IN MATH,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Directed study follows a syllabus set primarily by the instructor to meet the needs or interests of an individual student or small group of students.  The main goal of directed study is knowledge or skill acquisition, not research or creative work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
5369,1 (Fall 2023),MATH,599,INDEPENDENT STUDY IN MATH,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Guided independent study of an advanced topic in undergraduate mathematics or supervised work on an undergraduate research project, generally culminating in a final presentation and/or paper. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
5370,1 (Fall 2023),MATH,690,TUTORIAL STUDIES IN MATH,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,Advanced work in mathematics on topics not covered in regular offerings. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,Y
5371,1 (Fall 2023),MATH,691,DIRECTED STUDY IN MATH,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Directed study follows a syllabus set primarily by the instructor to meet the needs or interests of an individual student or small group of students.  The main goal of directed study is knowledge or skill acquisition, not research or creative work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
5372,1 (Fall 2023),MATH,699,INDEPENDENT STUDY IN MATH,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Guided independent study of an advanced topic in undergraduate mathematics or supervised work on an undergraduate research project, generally culminating in a final presentation and/or paper. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
5794,1 (Fall 2024),MATH,102,FOUNDATIONS IN MATH,,6,"Must take ALEKS diagnostic exam, no minimum score required","This course will cover properties of real numbers, linear equations and inequalities, systems of linear equations, factoring, polynomials, rational and radical expressions, exponentials and logarithms. Students will complete regular reading and writing assignments as well as in-class assessments. PREREQUISITES: Must take ALEKS diagnostic exam, no minimum score required",N
5795,1 (Fall 2024),MATH,103,PREPARATION FOR CALCULUS,,6,"Minimum score on ALEKS diagnostic exam, as set by the department.","An exploration of functions, including polynomial, rational, exponential, logarithmic, and trigonometric functions.  This course is designed to prepare students for the study of calculus at Lawrence. PREREQUISITES: Minimum score on ALEKS diagnostic exam, as set by the department.",N
5796,1 (Fall 2024),MATH,140,CALCULUS,,6,"Minimum score on ALEKS online diagnostic exam, as set by the department.","Functions, limits, derivatives, the Mean Value Theorem, definition and properties of integrals, the Fundamental Theorem of Calculus, and applications to related rates, curve sketching, and optimization problems. PREREQUISITES: Minimum score on ALEKS online diagnostic exam, as set by the department.",N
5797,1 (Fall 2024),MATH,155,MULTIVARIABLE CALCULUS,,6,MATH 140 or suitable AP or IB score and minimum score on ALEKS online diagnostic exam as set by department,"Techniques of integration, vector algebra in the plane and space, matrix algebra, functions of several variables, partial derivatives, double and triple integration, optimization. PREREQUISITES: MATH 140 or suitable AP or IB score and minimum score on ALEKS online diagnostic exam as set by department",N
5378,1 (Fall 2024),MATH,191,DIRECTED STUDY IN MATH,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Directed study follows a syllabus set primarily by the instructor to meet the needs or interests of an individual student or small group of students.  The main goal of directed study is knowledge or skill acquisition, not research or creative work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
6120,1 (Fall 2024),MATH,223,QUANTITATIVE DECISION-MAKING,,6,Sophomore standing,"Students will learn ways to aid decision-making by applying a scientific approach to decision problems involving quantitative factors: defining the problem, gathering data, formulating a model of the problem, developing computer-based procedures for evaluating solutions, testing and refining the model, analyzing the model’s alternatives, and communicating the results. Many assignments and exams will be completed using Excel, so students will also gain advanced Excel skills.  PREREQUISITES: Sophomore standing",N
5798,1 (Fall 2024),MATH,230,DISCRETE MATHEMATICS,,6,MATH 155,"An introduction to mathematical reasoning and proof in the context of discrete structures relevant to the study of computer science.  Topics include induction, sets, relations and functions, graph theory, combinatorics, and probability. PREREQUISITES: MATH 155",N
5961,1 (Fall 2024),MATH,355,ADVANCED LINEAR ALGEBRA DATASC,,6,Math 250: Linear Algebra,"Covers advanced topics in linear algebra, with applications to data science. Possible topics include matrix factorizations LU, QR, SVD, and CMR, applications to PCA (principal component analysis), dimensionality reduction, weighted least squares and other forms of interpolation, the DFT and FFT, spectral graph drawing and spectral clustering from the Laplacian and modularity matrices, Kalman filters, covariance matrices, multivariate Gaussians, Markov chains, and matrix completion. The choice of topics depends on the instructor. Will use both exams and project-based assessment. Students will apply linear algebra to concrete data sets for their projects. PREREQUISITES: Math 250: Linear Algebra",N
5379,1 (Fall 2024),MATH,390,TUTORIAL STUDIES IN MATH,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,Advanced work in mathematics on topics not covered in regular offerings. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,Y
5380,1 (Fall 2024),MATH,391,DIRECTED STUDY IN MATHEMATICS,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Directed study follows a syllabus set primarily by the instructor to meet the needs or interests of an individual student or small group of students.  The main goal of directed study is knowledge or skill acquisition, not research or creative work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
5381,1 (Fall 2024),MATH,395,INTERNSHIP IN MATHEMATICS,APR,Variable,,"The academic component of the internship includes readings related to the substance of the internship, discussions with the faculty supervisor, and a written report appropriate to the discipline. Course grades are based on this academic work.",Y
5382,1 (Fall 2024),MATH,399,INDEPENDENT STUDY IN MATH,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Guided independent study of an advanced topic in undergraduate mathematics or supervised work on an undergraduate research project, generally culminating in a final presentation and/or paper. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
5799,1 (Fall 2024),MATH,565,NUMBER THEORY,,6,MATH 230 and 250,"A study of the integers, including unique factorization, congruences, and quadratic reciprocity.  Other topics may include finite fields, higher reciprocity laws, and algebraic number theory. PREREQUISITES: MATH 230 and 250",N
5383,1 (Fall 2024),MATH,590,TUTORIAL STUDIES IN MATH,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,Advanced work in mathematics on topics not covered in regular offerings. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,Y
5384,1 (Fall 2024),MATH,591,DIRECTED STUDY IN MATH,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Directed study follows a syllabus set primarily by the instructor to meet the needs or interests of an individual student or small group of students.  The main goal of directed study is knowledge or skill acquisition, not research or creative work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
5385,1 (Fall 2024),MATH,599,INDEPENDENT STUDY IN MATH,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Guided independent study of an advanced topic in undergraduate mathematics or supervised work on an undergraduate research project, generally culminating in a final presentation and/or paper. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
5386,1 (Fall 2024),MATH,690,TUTORIAL STUDIES IN MATH,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,Advanced work in mathematics on topics not covered in regular offerings. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,Y
5387,1 (Fall 2024),MATH,691,DIRECTED STUDY IN MATH,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Directed study follows a syllabus set primarily by the instructor to meet the needs or interests of an individual student or small group of students.  The main goal of directed study is knowledge or skill acquisition, not research or creative work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
5388,1 (Fall 2024),MATH,699,INDEPENDENT STUDY IN MATH,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Guided independent study of an advanced topic in undergraduate mathematics or supervised work on an undergraduate research project, generally culminating in a final presentation and/or paper. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
2107,2 (Winter 2024),MATH,102,FOUNDATIONS IN MATH,,6,,"This course will cover properties of real numbers, linear equations and inequalities, systems of linear equations, factoring, polynomials, rational and radical expressions, exponentials and logarithms. Students will complete regular reading and writing assignments as well as in-class assessments.",N
1676,2 (Winter 2024),MATH,103,PREPARATION FOR CALCULUS,,6,"Minimum score on ALEKS diagnostic exam, as set by the department.","An exploration of functions, including polynomial, rational, exponential, logarithmic, and trigonometric functions.  This course is designed to prepare students for the study of calculus at Lawrence. PREREQUISITES: Minimum score on ALEKS diagnostic exam, as set by the department.",N
1677,2 (Winter 2024),MATH,140,CALCULUS,,6,"Minimum score on ALEKS online diagnostic exam, as set by the department.","Functions, limits, derivatives, the Mean Value Theorem, definition and properties of integrals, the Fundamental Theorem of Calculus, and applications to related rates, curve sketching, and optimization problems. PREREQUISITES: Minimum score on ALEKS online diagnostic exam, as set by the department.",N
1678,2 (Winter 2024),MATH,155,MULTIVARIABLE CALCULUS,,6,MATH 140 or suitable AP or IB score and minimum score on ALEKS online diagnostic exam as set by department,"Techniques of integration, vector algebra in the plane and space, matrix algebra, functions of several variables, partial derivatives, double and triple integration, optimization. PREREQUISITES: MATH 140 or suitable AP or IB score and minimum score on ALEKS online diagnostic exam as set by department",N
1360,2 (Winter 2024),MATH,191,DIRECTED STUDY IN MATH,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Directed study follows a syllabus set primarily by the instructor to meet the needs or interests of an individual student or small group of students.  The main goal of directed study is knowledge or skill acquisition, not research or creative work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
1679,2 (Winter 2024),MATH,200,COMPLEX SEQUENCES AND SERIES,,6,MATH 155,"Complex numbers, sequences, convergence, series, power series, additional topics chosen from analysis, geometry, differential equations, and applied mathematics PREREQUISITES: MATH 155",N
1680,2 (Winter 2024),MATH,230,DISCRETE MATHEMATICS,,6,MATH 155,"An introduction to mathematical reasoning and proof in the context of discrete structures relevant to the study of computer science.  Topics include induction, sets, relations and functions, graph theory, combinatorics, and probability. PREREQUISITES: MATH 155",N
1681,2 (Winter 2024),MATH,250,LINEAR ALGEBRA,,6,MATH 200,"The study of vector spaces, linear transformations, matrices, and applications.  Topics include linear independence, dimension, rank-nullity, change of basis, eigenvectors and eigenvalues, determinants, and inner products. PREREQUISITES: MATH 200",N
1682,2 (Winter 2024),MATH,340,PROBABILITY,,6,"MATH 200, and either MATH 220 or MATH 230","An introduction to probability and its applications.  Topics will include combinatorial and axiomatic probability, conditional probability and Bayes' Theorem, random variables, expectation and variance, discrete and continuous probability distributions, joint and conditional distributions, and limit laws. PREREQUISITES: MATH 200, and either MATH 220 or MATH 230",N
1361,2 (Winter 2024),MATH,390,TUTORIAL STUDIES IN MATH,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,Advanced work in mathematics on topics not covered in regular offerings. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,Y
1362,2 (Winter 2024),MATH,391,DIRECTED STUDY IN MATHEMATICS,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Directed study follows a syllabus set primarily by the instructor to meet the needs or interests of an individual student or small group of students.  The main goal of directed study is knowledge or skill acquisition, not research or creative work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
1363,2 (Winter 2024),MATH,395,INTERNSHIP IN MATHEMATICS,APR,Variable,,"The academic component of the internship includes readings related to the substance of the internship, discussions with the faculty supervisor, and a written report appropriate to the discipline. Course grades are based on this academic work.",Y
1364,2 (Winter 2024),MATH,399,INDEPENDENT STUDY IN MATH,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Guided independent study of an advanced topic in undergraduate mathematics or supervised work on an undergraduate research project, generally culminating in a final presentation and/or paper. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
1684,2 (Winter 2024),MATH,535,COMPLEX ANALYSIS,,6,MATH 230 and 250,"An introduction to functions of a complex variable, the Cauchy-Riemann equations, conformal mappings, Cauchy’s theorem, Cauchy’s integral formula, Taylor and Laurent series, and a sampling, as time and interest permit, of the corollaries to Cauchy’s theorem. PREREQUISITES: MATH 230 and 250",N
1365,2 (Winter 2024),MATH,590,TUTORIAL STUDIES IN MATH,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,Advanced work in mathematics on topics not covered in regular offerings. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,Y
1366,2 (Winter 2024),MATH,591,DIRECTED STUDY IN MATH,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Directed study follows a syllabus set primarily by the instructor to meet the needs or interests of an individual student or small group of students.  The main goal of directed study is knowledge or skill acquisition, not research or creative work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
1367,2 (Winter 2024),MATH,599,INDEPENDENT STUDY IN MATH,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Guided independent study of an advanced topic in undergraduate mathematics or supervised work on an undergraduate research project, generally culminating in a final presentation and/or paper. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
1368,2 (Winter 2024),MATH,690,TUTORIAL STUDIES IN MATH,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,Advanced work in mathematics on topics not covered in regular offerings. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,Y
1369,2 (Winter 2024),MATH,691,DIRECTED STUDY IN MATH,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Directed study follows a syllabus set primarily by the instructor to meet the needs or interests of an individual student or small group of students.  The main goal of directed study is knowledge or skill acquisition, not research or creative work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
1370,2 (Winter 2024),MATH,699,INDEPENDENT STUDY IN MATH,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Guided independent study of an advanced topic in undergraduate mathematics or supervised work on an undergraduate research project, generally culminating in a final presentation and/or paper. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
1759,2 (Winter 2025),MATH,102,FOUNDATIONS IN MATH,,6,"Must take ALEKS diagnostic exam, no minimum score required","This course will cover properties of real numbers, linear equations and inequalities, systems of linear equations, factoring, polynomials, rational and radical expressions, exponentials and logarithms. Students will complete regular reading and writing assignments as well as in-class assessments. PREREQUISITES: Must take ALEKS diagnostic exam, no minimum score required",N
1760,2 (Winter 2025),MATH,103,PREPARATION FOR CALCULUS,,6,"Minimum score on ALEKS diagnostic exam, as set by the department.","An exploration of functions, including polynomial, rational, exponential, logarithmic, and trigonometric functions.  This course is designed to prepare students for the study of calculus at Lawrence. PREREQUISITES: Minimum score on ALEKS diagnostic exam, as set by the department.",N
1761,2 (Winter 2025),MATH,140,CALCULUS,,6,"Minimum score on ALEKS online diagnostic exam, as set by the department.","Functions, limits, derivatives, the Mean Value Theorem, definition and properties of integrals, the Fundamental Theorem of Calculus, and applications to related rates, curve sketching, and optimization problems. PREREQUISITES: Minimum score on ALEKS online diagnostic exam, as set by the department.",N
1762,2 (Winter 2025),MATH,155,MULTIVARIABLE CALCULUS,,6,MATH 140 or suitable AP or IB score and minimum score on ALEKS online diagnostic exam as set by department,"Techniques of integration, vector algebra in the plane and space, matrix algebra, functions of several variables, partial derivatives, double and triple integration, optimization. PREREQUISITES: MATH 140 or suitable AP or IB score and minimum score on ALEKS online diagnostic exam as set by department",N
1343,2 (Winter 2025),MATH,191,DIRECTED STUDY IN MATH,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Directed study follows a syllabus set primarily by the instructor to meet the needs or interests of an individual student or small group of students.  The main goal of directed study is knowledge or skill acquisition, not research or creative work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
1763,2 (Winter 2025),MATH,200,COMPLEX SEQUENCES AND SERIES,,6,MATH 155,"Complex numbers, sequences, convergence, series, power series, additional topics chosen from analysis, geometry, differential equations, and applied mathematics PREREQUISITES: MATH 155",N
1764,2 (Winter 2025),MATH,250,LINEAR ALGEBRA,,6,MATH 200,"The study of vector spaces, linear transformations, matrices, and applications.  Topics include linear independence, dimension, rank-nullity, change of basis, eigenvectors and eigenvalues, determinants, and inner products. PREREQUISITES: MATH 200",N
1780,2 (Winter 2025),MATH,340,PROBABILITY,,6,"MATH 200, and either MATH 220 or MATH 230","An introduction to probability and its applications.  Topics will include combinatorial and axiomatic probability, conditional probability and Bayes' Theorem, random variables, expectation and variance, discrete and continuous probability distributions, joint and conditional distributions, and limit laws. PREREQUISITES: MATH 200, and either MATH 220 or MATH 230",N
1344,2 (Winter 2025),MATH,390,TUTORIAL STUDIES IN MATH,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,Advanced work in mathematics on topics not covered in regular offerings. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,Y
1345,2 (Winter 2025),MATH,391,DIRECTED STUDY IN MATHEMATICS,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Directed study follows a syllabus set primarily by the instructor to meet the needs or interests of an individual student or small group of students.  The main goal of directed study is knowledge or skill acquisition, not research or creative work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
1346,2 (Winter 2025),MATH,395,INTERNSHIP IN MATHEMATICS,APR,Variable,,"The academic component of the internship includes readings related to the substance of the internship, discussions with the faculty supervisor, and a written report appropriate to the discipline. Course grades are based on this academic work.",Y
1347,2 (Winter 2025),MATH,399,INDEPENDENT STUDY IN MATH,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Guided independent study of an advanced topic in undergraduate mathematics or supervised work on an undergraduate research project, generally culminating in a final presentation and/or paper. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
1765,2 (Winter 2025),MATH,510,REAL ANALYSIS,,6,MATH 230 and MATH 250,"A study of concepts in mathematical analysis, including convergence of sequences and series, continuity, differentiation, integration, and metric spaces. PREREQUISITES: MATH 230 and MATH 250",N
1348,2 (Winter 2025),MATH,590,TUTORIAL STUDIES IN MATH,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,Advanced work in mathematics on topics not covered in regular offerings. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,Y
1349,2 (Winter 2025),MATH,591,DIRECTED STUDY IN MATH,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Directed study follows a syllabus set primarily by the instructor to meet the needs or interests of an individual student or small group of students.  The main goal of directed study is knowledge or skill acquisition, not research or creative work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
1350,2 (Winter 2025),MATH,599,INDEPENDENT STUDY IN MATH,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Guided independent study of an advanced topic in undergraduate mathematics or supervised work on an undergraduate research project, generally culminating in a final presentation and/or paper. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
1351,2 (Winter 2025),MATH,690,TUTORIAL STUDIES IN MATH,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,Advanced work in mathematics on topics not covered in regular offerings. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,Y
1352,2 (Winter 2025),MATH,691,DIRECTED STUDY IN MATH,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Directed study follows a syllabus set primarily by the instructor to meet the needs or interests of an individual student or small group of students.  The main goal of directed study is knowledge or skill acquisition, not research or creative work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
1353,2 (Winter 2025),MATH,699,INDEPENDENT STUDY IN MATH,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Guided independent study of an advanced topic in undergraduate mathematics or supervised work on an undergraduate research project, generally culminating in a final presentation and/or paper. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
4106,3 (Spring 2024),MATH,103,PREPARATION FOR CALCULUS,,6,"Minimum score on ALEKS diagnostic exam, as set by the department.","An exploration of functions, including polynomial, rational, exponential, logarithmic, and trigonometric functions.  This course is designed to prepare students for the study of calculus at Lawrence. PREREQUISITES: Minimum score on ALEKS diagnostic exam, as set by the department.",N
3706,3 (Spring 2024),MATH,140,CALCULUS,,6,"Minimum score on ALEKS online diagnostic exam, as set by the department.","Functions, limits, derivatives, the Mean Value Theorem, definition and properties of integrals, the Fundamental Theorem of Calculus, and applications to related rates, curve sketching, and optimization problems. PREREQUISITES: Minimum score on ALEKS online diagnostic exam, as set by the department.",N
3707,3 (Spring 2024),MATH,155,MULTIVARIABLE CALCULUS,,6,MATH 140 or suitable AP or IB score and minimum score on ALEKS online diagnostic exam as set by department,"Techniques of integration, vector algebra in the plane and space, matrix algebra, functions of several variables, partial derivatives, double and triple integration, optimization. PREREQUISITES: MATH 140 or suitable AP or IB score and minimum score on ALEKS online diagnostic exam as set by department",N
3336,3 (Spring 2024),MATH,191,DIRECTED STUDY IN MATH,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Directed study follows a syllabus set primarily by the instructor to meet the needs or interests of an individual student or small group of students.  The main goal of directed study is knowledge or skill acquisition, not research or creative work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
3708,3 (Spring 2024),MATH,200,COMPLEX SEQUENCES AND SERIES,,6,MATH 155,"Complex numbers, sequences, convergence, series, power series, additional topics chosen from analysis, geometry, differential equations, and applied mathematics PREREQUISITES: MATH 155",N
3998,3 (Spring 2024),MATH,224,QUANTITATIVE DECISION-MAKING 2,,6,"Econ 223 and STAT 255, or Econ 223 and instructor approval","QDM2 picks up where QDM leaves off, asking students to create solutions more autonomously and examining more complex decision problems. For example, we may examine nonlinear optimization with multiple decision variables and more complex decision-making under uncertainty, including the use of simulation models, probability distributions, and Bayes Rule. Many assignments and exams will be completed using Excel, building on the Excel skills developed in QDM. PREREQUISITES: Econ 223 and STAT 255, or Econ 223 and instructor approval",N
3709,3 (Spring 2024),MATH,250,LINEAR ALGEBRA,,6,MATH 200,"The study of vector spaces, linear transformations, matrices, and applications.  Topics include linear independence, dimension, rank-nullity, change of basis, eigenvectors and eigenvalues, determinants, and inner products. PREREQUISITES: MATH 200",N
3337,3 (Spring 2024),MATH,390,TUTORIAL STUDIES IN MATH,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,Advanced work in mathematics on topics not covered in regular offerings. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,Y
3338,3 (Spring 2024),MATH,391,DIRECTED STUDY IN MATHEMATICS,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Directed study follows a syllabus set primarily by the instructor to meet the needs or interests of an individual student or small group of students.  The main goal of directed study is knowledge or skill acquisition, not research or creative work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
3339,3 (Spring 2024),MATH,395,INTERNSHIP IN MATHEMATICS,APR,Variable,,"The academic component of the internship includes readings related to the substance of the internship, discussions with the faculty supervisor, and a written report appropriate to the discipline. Course grades are based on this academic work.",Y
3340,3 (Spring 2024),MATH,399,INDEPENDENT STUDY IN MATH,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Guided independent study of an advanced topic in undergraduate mathematics or supervised work on an undergraduate research project, generally culminating in a final presentation and/or paper. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
4019,3 (Spring 2024),MATH,545,RINGS AND FIELDS,,6,MATH 230 and 250,"Modern algebra with topics selected from group theory, ring theory, field theory, classical geometric construction problems, and Galois theory. Emphasis on the use of mathematical abstraction to illuminate underlying relationships and structure. PREREQUISITES: MATH 230 and 250",N
3711,3 (Spring 2024),MATH,560,TOPOLOGY,,6,MATH 230 and 250,"A study of metric and topological spaces, including continuity, compactness, connectedness, product and quotient spaces. Additional topics may include Zorn’s Lemma, separation properties, surfaces, the fundamental group, and fixed point theorems. PREREQUISITES: MATH 230 and 250",N
3341,3 (Spring 2024),MATH,590,TUTORIAL STUDIES IN MATH,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,Advanced work in mathematics on topics not covered in regular offerings. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,Y
3342,3 (Spring 2024),MATH,591,DIRECTED STUDY IN MATH,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Directed study follows a syllabus set primarily by the instructor to meet the needs or interests of an individual student or small group of students.  The main goal of directed study is knowledge or skill acquisition, not research or creative work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
3343,3 (Spring 2024),MATH,599,INDEPENDENT STUDY IN MATH,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Guided independent study of an advanced topic in undergraduate mathematics or supervised work on an undergraduate research project, generally culminating in a final presentation and/or paper. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
3344,3 (Spring 2024),MATH,690,TUTORIAL STUDIES IN MATH,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,Advanced work in mathematics on topics not covered in regular offerings. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,Y
3345,3 (Spring 2024),MATH,691,DIRECTED STUDY IN MATH,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Directed study follows a syllabus set primarily by the instructor to meet the needs or interests of an individual student or small group of students.  The main goal of directed study is knowledge or skill acquisition, not research or creative work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
3346,3 (Spring 2024),MATH,699,INDEPENDENT STUDY IN MATH,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Guided independent study of an advanced topic in undergraduate mathematics or supervised work on an undergraduate research project, generally culminating in a final presentation and/or paper. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
3800,3 (Spring 2025),MATH,103,PREPARATION FOR CALCULUS,,6,"Minimum score on ALEKS diagnostic exam, as set by the department.","An exploration of functions, including polynomial, rational, exponential, logarithmic, and trigonometric functions.  This course is designed to prepare students for the study of calculus at Lawrence. PREREQUISITES: Minimum score on ALEKS diagnostic exam, as set by the department.",N
3801,3 (Spring 2025),MATH,140,CALCULUS,,6,"Minimum score on ALEKS online diagnostic exam, as set by the department.","Functions, limits, derivatives, the Mean Value Theorem, definition and properties of integrals, the Fundamental Theorem of Calculus, and applications to related rates, curve sketching, and optimization problems. PREREQUISITES: Minimum score on ALEKS online diagnostic exam, as set by the department.",N
